2026-05-01 00:41:33 | INFO     | cross_validation |   Fold 4/5: train=1917 (orig=639, aug=1278), val=160, acc=70.00%  [7.9s]
2026-05-01 00:41:33 | DEBUG    | reduction | Scaler fitted on 640 samples, 166 features
2026-05-01 00:41:40 | INFO     | cross_validation |   Fold 5/5: train=1920 (orig=640, aug=1280), val=159, acc=76.73%  [7.3s]
2026-05-01 00:41:40 | INFO     | cross_validation |   CV result: 76.10% ± 3.12%
2026-05-01 00:41:40 | INFO     | cross_validation |   Combo 12/16: {'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300, 'subsample': 1.0}
2026-05-01 00:41:40 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:41:48 | INFO     | cross_validation |   Fold 1/5: train=1917 (orig=639, aug=1278), val=160, acc=76.88%  [7.9s]
2026-05-01 00:41:48 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:41:56 | INFO     | cross_validation |   Fold 2/5: train=1917 (orig=639, aug=1278), val=160, acc=75.62%  [8.4s]
2026-05-01 00:41:56 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:42:04 | INFO     | cross_validation |   Fold 3/5: train=1917 (orig=639, aug=1278), val=160, acc=75.00%  [7.9s]
2026-05-01 00:42:04 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:42:18 | INFO     | cross_validation |   Fold 4/5: train=1917 (orig=639, aug=1278), val=160, acc=69.38%  [10.5s]
2026-05-01 00:42:18 | DEBUG    | reduction | Scaler fitted on 640 samples, 166 features
2026-05-01 00:42:34 | INFO     | cross_validation |   Fold 5/5: train=1920 (orig=640, aug=1280), val=159, acc=75.47%  [15.7s]
2026-05-01 00:42:34 | INFO     | cross_validation |   CV result: 74.47% ± 2.62%
2026-05-01 00:42:34 | INFO     | cross_validation |   Combo 13/16: {'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}
2026-05-01 00:42:34 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:42:45 | INFO     | cross_validation |   Fold 1/5: train=1917 (orig=639, aug=1278), val=160, acc=76.88%  [9.0s]
2026-05-01 00:42:45 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:42:53 | INFO     | cross_validation |   Fold 2/5: train=1917 (orig=639, aug=1278), val=160, acc=76.88%  [7.1s]
2026-05-01 00:42:53 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:42:59 | INFO     | cross_validation |   Fold 3/5: train=1917 (orig=639, aug=1278), val=160, acc=78.12%  [6.0s]
2026-05-01 00:42:59 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:43:07 | INFO     | cross_validation |   Fold 4/5: train=1917 (orig=639, aug=1278), val=160, acc=73.75%  [8.7s]
